,r,length_of_url,http_has,suspicious_char,prefix_suffix,dots,slash,phis_term,sub_domain,ip_contain
486,yes,1,1,1,0,1,0,0,0,0
487,yes,0,1,1,0,1,1,0,1,0
488,yes,0,1,1,0,1,0,0,1,0
489,yes,1,1,1,1,0,0,1,0,0
490,yes,0,1,1,1,1,1,1,0,0
491,yes,0,1,1,1,1,1,0,0,0
492,yes,0,1,1,1,1,1,1,0,0
493,yes,1,1,1,0,1,1,1,0,0
494,yes,0,1,1,1,1,1,1,0,0
495,yes,0,1,1,1,1,1,1,0,0
496,yes,0,1,1,1,1,1,1,0,0
497,yes,0,1,1,0,1,0,0,0,0
498,yes,1,1,1,0,1,0,0,1,0
499,yes,1,1,1,0,1,1,0,1,0
500,yes,1,1,1,1,0,0,1,0,0
501,yes,1,1,1,1,1,0,1,0,0
502,yes,0,1,1,0,1,0,0,0,0
503,yes,1,1,1,0,0,0,0,0,0
504,yes,1,1,1,1,1,0,1,0,0
505,yes,1,1,1,1,0,0,1,0,0
506,yes,1,1,1,1,0,0,1,0,0
507,yes,0,1,1,0,1,1,0,1,0
508,yes,0,1,1,0,1,1,0,1,0
509,yes,0,1,1,0,1,1,0,1,0
510,yes,0,1,1,0,1,1,0,0,0
511,yes,1,1,1,0,1,1,0,0,0
512,yes,1,1,1,0,1,0,0,1,0
513,yes,1,1,1,1,1,0,1,0,0
514,yes,1,1,1,1,1,0,1,0,0
515,yes,1,1,1,1,1,0,1,1,0
516,yes,0,1,1,0,1,1,0,1,0
517,yes,0,1,1,1,1,1,0,0,0
518,yes,1,1,1,1,0,0,1,0,0
519,yes,0,1,1,0,1,1,0,1,0
520,yes,1,1,1,1,0,0,1,0,0
521,yes,0,1,1,0,1,1,0,1,0
522,yes,0,1,1,0,1,0,1,0,0
523,yes,1,1,1,0,1,0,0,1,0
524,yes,0,1,1,0,1,1,1,0,0
525,yes,1,1,1,1,0,0,1,0,0
526,yes,0,1,1,0,1,1,0,0,0
527,yes,1,1,1,0,0,1,0,0,0
528,yes,1,1,1,0,1,0,0,0,0
529,yes,1,1,1,0,0,1,0,0,0
530,yes,1,1,1,1,1,0,0,0,0
531,yes,1,1,1,1,1,0,0,0,0
532,yes,0,1,1,1,1,1,0,1,0
533,yes,0,1,1,0,1,1,0,0,0
534,yes,1,1,1,1,1,0,1,0,0
535,yes,1,1,1,1,1,0,1,0,0
536,yes,1,1,1,1,1,0,1,0,0
537,yes,1,1,1,1,1,0,1,0,0
538,yes,1,1,1,1,1,0,1,0,0
539,yes,1,1,1,1,1,0,1,0,0
540,yes,1,1,1,1,1,0,1,0,0
541,yes,1,1,1,1,1,0,1,0,0
542,yes,1,1,1,1,1,0,1,0,0
543,yes,0,1,1,0,1,1,0,0,0
544,yes,1,1,1,1,1,1,0,1,0
545,yes,1,1,1,1,1,0,0,0,0
546,yes,0,1,1,1,1,1,0,1,0
547,yes,0,1,1,0,1,1,0,0,0
548,yes,1,1,1,1,1,0,0,0,0
549,yes,1,1,1,0,1,1,0,0,0
550,yes,1,1,1,1,1,0,0,0,0
551,yes,1,1,1,0,1,0,0,0,0
552,yes,0,1,1,0,1,1,0,1,0
553,yes,0,1,1,0,1,1,0,0,0
554,yes,0,1,1,0,1,0,0,0,0
555,yes,1,1,1,1,1,1,0,0,0
556,yes,0,1,1,0,1,1,0,0,0
557,yes,1,1,1,0,1,0,0,0,0
558,yes,1,1,1,0,1,1,1,0,0
559,yes,0,1,1,0,1,1,0,1,0
560,yes,1,1,1,1,1,0,1,0,0
561,yes,0,1,1,0,1,1,0,0,0
562,yes,0,1,1,0,1,1,0,0,0
563,yes,1,1,1,0,1,0,0,0,0
564,yes,0,1,1,0,1,1,0,1,0
565,yes,0,1,1,0,1,1,0,1,0
566,yes,1,1,1,1,1,0,1,0,0
567,yes,1,1,1,1,1,0,0,0,0
568,yes,0,1,1,0,1,1,0,0,0
569,yes,1,1,1,1,1,0,1,0,0
570,yes,1,1,1,0,1,0,0,0,0
571,yes,1,1,1,0,1,0,0,0,0
572,yes,0,1,1,0,1,1,0,0,0
573,yes,0,1,1,1,1,1,1,0,0
574,yes,0,1,1,1,1,1,1,0,0
575,yes,1,1,1,1,1,0,0,0,0
576,yes,0,1,1,0,1,0,0,0,0
577,yes,0,1,1,1,1,1,0,0,0
578,yes,0,1,1,1,1,1,0,0,0
579,yes,0,1,1,0,1,1,0,0,0
580,yes,1,1,1,0,1,1,0,0,0
581,yes,0,1,1,0,1,1,0,0,0
582,yes,1,1,1,0,1,0,0,1,0
583,yes,1,1,1,1,1,0,0,0,0
584,yes,1,1,1,1,0,0,0,0,0
585,yes,1,1,1,1,1,1,1,0,0
586,yes,0,1,1,0,1,1,1,1,0
587,yes,0,1,1,0,1,1,0,0,0
588,yes,1,1,1,1,1,1,1,0,0
589,yes,0,1,1,0,1,1,0,1,0
590,yes,0,1,1,0,1,1,0,1,0
591,yes,0,1,1,0,1,0,0,0,0
592,yes,0,1,1,0,1,1,0,0,0
593,yes,0,1,1,1,1,1,0,1,0
594,yes,0,1,1,0,1,1,0,0,0
